ID	post_title	post_name	post_date	featured_image_url
44540	What are Xpct nicotine pouches?	xpct-nicotine-pouches	2025-04-11 13:26:20	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-16601238-7.jpeg
43756	What are Nordic Spirit nicotine pouches?	nicotine-pouches-nordic-spirit	2025-04-11 08:33:09	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-30403220.jpeg
43962	Are nicotine pouches legal in the UK?	are-nicotine-pouches-legal-in-uk	2025-04-11 07:13:29	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-18111370.jpeg
43967	What are snuff nicotine pouches?	snuff-nicotine-pouches	2025-04-11 06:24:48	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-23542541.jpeg
43755	What are nicotine gum pouches?	nicotine-gum-pouches	2025-04-11 06:17:21	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-17907847.jpeg
43753	What are pouches with nicotine?	pouches-nicotine	2025-04-11 06:04:37	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-7278925.jpeg
43973	What’s the age limit for nicotine pouches?	nicotine-pouches-age-limit	2025-04-11 05:32:52	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-6608890.jpeg
43966	What are 50mg nicotine pouches?	50mg-nicotine-pouches	2025-04-11 05:04:26	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-23542541-1.jpeg
44643	norwegian nicotine pouches	norwegian-nicotine-pouches	2025-04-11 04:58:48	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-16601238-8.jpeg
44531	Do nicotine pouches cause gum disease?	nicotine-pouches-gum-disease	2025-04-11 03:48:26	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-6812543-1.jpeg
44529	What are the regulations for nicotine pouches in Turkey?	nicotine-pouches-turkey	2025-04-11 01:43:59	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-12312266-1.jpeg
43745	How do nicotine pouches differ from snus?	nicotine-pouches-vs-snus	2025-04-11 01:33:11	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-16601238.jpeg
44641	grizzly nicotine pouches	grizzly-nicotine-pouches	2025-04-11 01:16:10	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-16601238-9.jpeg
44638	does nicotine pouches cause cancer	does-nicotine-pouches-cause-cancer	2025-04-11 00:49:53	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-15158117-2.jpeg
43963	Can you overdose on nicotine pouches?	can-you-overdose-on-nicotine-pouches	2025-04-10 23:43:17	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-23542541-2.jpeg
44543	What are the risks of using nicotine pouches?	risks-of-nicotine-pouches	2025-04-10 22:50:39	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-1076901-1.jpeg
44539	What are non-tobacco nicotine pouches?	non-tobacco-nicotine-pouches	2025-04-10 20:24:15	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-23542541-11.jpeg
44633	nicotine pouches effects	nicotine-pouches-effects	2025-04-10 19:43:49	https://nicotine-pouches.org/wp-content/uploads/2025/04/pexels-photo-3779058-1.jpeg
